	category
4360	4
7423	8
6145	7
3057	3
2904	3
8681	9
4394	4
5248	5
5865	7
6302	7
364	0
2184	2
7592	8
6292	7
444	0
5150	5
1802	2
5798	6
3556	4
2378	2
6660	7
1167	1
2393	2
5145	5
2269	2
1833	2
8164	9
1295	1
28	0
6091	7
6462	7
4540	5
8709	9
7017	8
2235	2
526	0
4497	5
587	0
4925	5
2073	2
8710	9
3703	4
3708	4
6809	8
1556	2
2807	3
6680	7
8471	9
8092	9
7806	9
5588	6
1749	2
4598	5
4074	4
5124	5
4685	5
5760	6
1258	1
6197	7
4288	4
8159	9
2966	3
4748	5
8182	9
1651	2
6278	7
1425	1
6185	7
4725	5
880	0
5162	5
3089	3
4662	5
8210	9
6128	7
5712	6
1112	1
7240	8
6808	8
7274	8
2537	3
1527	2
6155	7
1621	2
2788	3
3573	4
983	0
7990	9
4907	5
1066	1
255	0
7210	8
672	0
4437	5
4979	5
3785	4
8463	9
2078	2
7263	8
6898	8
1470	2
2425	2
1913	2
1870	2
1370	1
3408	3
1250	1
3441	4
5290	5
3134	3
8235	9
3318	3
5486	6
7364	8
4130	4
1707	2
4644	5
2406	2
7120	8
2702	3
376	0
3209	3
8011	9
4648	5
6167	7
3659	4
7278	8
85	0
1239	1
1729	2
2862	3
2636	3
1180	1
2255	2
4174	4
3128	3
7211	8
4727	5
4967	5
5891	7
3168	3
8559	9
1252	1
1670	2
1920	2
3174	3
8500	9
2641	3
7042	8
2615	3
1077	1
7797	9
7718	8
5421	5
7329	8
7107	8
663	0
3016	3
7358	8
2961	3
4268	4
9	0
3198	3
538	0
4230	4
2697	3
2567	3
3145	3
7972	9
6592	7
1654	2
3156	3
1641	2
2441	3
2334	2
8337	9
6241	7
6902	8
1482	2
6087	7
2581	3
4140	4
6421	7
993	0
7733	9
3627	4
8140	9
2650	3
4895	5
2993	3
5915	7
2335	2
2140	2
5681	6
2007	2
2831	3
8429	9
5932	7
1586	2
38	0
2469	3
3754	4
698	0
5269	5
708	0
5673	6
6716	7
8271	9
5605	6
8347	9
6481	7
3457	4
8228	9
5178	5
2040	2
2561	3
1748	2
2730	3
4752	5
3806	4
825	0
6822	8
5589	6
42	0
4567	5
3282	3
7825	9
4694	5
7947	9
506	0
5362	5
5803	7
5395	5
4157	4
8133	9
4395	4
5716	6
1685	2
1305	1
6791	7
7896	9
7448	8
5204	5
5820	7
2892	3
2100	2
3462	4
6226	7
3711	4
3574	4
5842	7
2191	2
5256	5
1462	2
4356	4
1686	2
2436	3
1044	1
3194	3
3335	3
6975	8
4231	4
7412	8
1883	2
4027	4
1353	1
3934	4
6228	7
5451	6
3643	4
4352	4
3576	4
4642	5
4187	4
4625	5
2560	3
5337	5
3775	4
995	0
508	0
67	0
3304	3
2962	3
3869	4
2801	3
8433	9
16	0
6223	7
167	0
6920	8
7581	8
8511	9
451	0
8657	9
8619	9
8084	9
5526	6
1529	2
8062	9
574	0
4689	5
8431	9
4059	4
1391	1
549	0
4283	4
7104	8
4998	5
3614	4
6915	8
6952	8
8375	9
5255	5
4779	5
925	0
3369	3
7857	9
4446	5
1171	1
1466	2
1620	2
7605	8
753	0
1515	2
1278	1
1076	1
1580	2
3878	4
4067	4
2358	2
6323	7
329	0
3411	3
332	0
4674	5
923	0
8465	9
2965	3
8557	9
5416	5
6737	7
5900	7
6899	8
548	0
5941	7
6926	8
4654	5
2672	3
2710	3
100	0
8720	9
5273	5
7713	8
6237	7
4650	5
7181	8
3908	4
6012	7
345	0
7894	9
4280	4
5821	7
7971	9
1988	2
1371	1
6919	8
525	0
7457	8
2454	3
1510	2
5958	7
2683	3
2318	2
3855	4
8021	9
8074	9
4088	4
2798	3
6594	7
2346	2
7109	8
5209	5
77	0
1471	2
1553	2
7336	8
7465	8
6625	7
6607	7
2795	3
1849	2
2718	3
2899	3
2803	3
4573	5
1738	2
4740	5
3547	4
768	0
4302	4
756	0
291	0
5703	6
1117	1
5470	6
1222	1
8212	9
873	0
8706	9
8204	9
3034	3
1592	2
8330	9
6850	8
242	0
3154	3
4628	5
5443	6
126	0
1360	1
4319	4
7383	8
3249	3
7215	8
4898	5
8079	9
1891	2
7519	8
7161	8
7790	9
790	0
8024	9
6713	7
2362	2
112	0
7983	9
6538	7
82	0
653	0
5336	5
3144	3
2940	3
8244	9
4831	5
2526	3
857	0
6914	8
4062	4
7995	9
1088	1
6986	8
2462	3
1198	1
621	0
1822	2
1780	2
2157	2
5593	6
3489	4
6169	7
4462	5
7148	8
3958	4
2239	2
5094	5
3086	3
437	0
945	0
2657	3
5530	6
3907	4
54	0
