	category
6437	7
7270	8
601	0
3207	3
2083	2
4054	4
5674	6
1381	1
744	0
4	0
4265	4
1809	2
6576	7
356	0
3151	3
2833	3
679	0
7447	8
4293	4
1700	2
5472	6
4034	4
4043	4
3871	4
241	0
1886	2
4747	5
3879	4
2473	3
3357	3
4746	5
2492	3
1797	2
3764	4
2991	3
856	0
6690	7
4733	5
3868	4
6464	7
5661	6
1132	1
557	0
922	0
4259	4
794	0
498	0
2067	2
305	0
2850	3
8660	9
5879	7
7737	9
8724	9
4306	4
6746	7
335	0
1107	1
8265	9
3766	4
8621	9
3328	3
2932	3
1219	1
914	0
7561	8
8209	9
8704	9
5904	7
7380	8
1555	2
3050	3
2495	3
7858	9
6144	7
3557	4
2510	3
5698	6
798	0
1248	1
3239	3
3635	4
4554	5
1653	2
2218	2
5398	5
987	0
4862	5
1869	2
8616	9
1952	2
3241	3
6940	8
5893	7
3561	4
2047	2
3211	3
4523	5
5844	7
3810	4
7622	8
1688	2
1054	1
7670	8
5522	6
113	0
532	0
6774	7
6048	7
3454	4
8674	9
2832	3
4097	4
8548	9
7117	8
8035	9
984	0
2874	3
2085	2
4778	5
5728	6
8417	9
5691	6
4109	4
2051	2
2424	2
1687	2
347	0
316	0
3123	3
2689	3
8089	9
4321	4
8275	9
2215	2
1504	2
2834	3
4525	5
7234	8
4179	4
6908	8
5606	6
4110	4
5977	7
6544	7
5159	5
8117	9
3001	3
8391	9
3206	3
6724	7
4999	5
2241	2
5997	7
823	0
1159	1
8109	9
7262	8
3120	3
5190	5
186	0
1448	2
2414	2
7219	8
6369	7
974	0
5400	5
3354	3
7291	8
2786	3
1665	2
4349	4
178	0
6730	7
4824	5
4269	4
2764	3
401	0
5769	6
3678	4
3475	4
3828	4
2639	3
4294	4
4152	4
2645	3
8301	9
2606	3
3805	4
8446	9
1402	1
7529	8
8200	9
8014	9
2392	2
2757	3
2505	3
8161	9
2968	3
500	0
1495	2
3150	3
7175	8
2107	2
4388	4
7864	9
5771	6
3205	3
8711	9
6450	7
1932	2
4402	4
6729	7
1709	2
8474	9
4508	5
6102	7
6948	8
2995	3
2663	3
6804	8
8259	9
4163	4
4619	5
5939	7
1954	2
468	0
7094	8
6863	8
2319	2
6184	7
2156	2
6199	7
1366	1
4556	5
4546	5
8325	9
2920	3
5845	7
3704	4
1989	2
7640	8
483	0
1211	1
6036	7
6825	8
2224	2
5130	5
4557	5
5839	7
2755	3
5930	7
7634	8
50	0
4828	5
5650	6
5924	7
590	0
8731	9
1755	2
8239	9
7394	8
6865	8
7195	8
5179	5
5514	6
453	0
2703	3
2274	2
4660	5
4137	4
2868	3
4820	5
848	0
5694	6
2150	2
5022	5
5546	6
1298	1
2638	3
6151	7
4699	5
6225	7
7886	9
849	0
6480	7
4626	5
4325	4
6787	7
4404	4
6403	7
2981	3
2464	3
701	0
34	0
2300	2
8162	9
1169	1
7118	8
715	0
820	0
2963	3
1101	1
5888	7
7138	8
7350	8
3632	4
2291	2
7284	8
1633	2
924	0
6257	7
6418	7
1776	2
6318	7
1680	2
114	0
7945	9
6903	8
7506	8
564	0
6597	7
8484	9
5574	6
6871	8
1658	2
238	0
1063	1
5365	5
3229	3
5280	5
4125	4
7673	8
1615	2
7902	9
5260	5
2231	2
5344	5
2990	3
2467	3
7626	8
5643	6
8515	9
8728	9
2590	3
2108	2
2582	3
367	0
1933	2
5177	5
7470	8
8448	9
1896	2
4835	5
202	0
2265	2
3820	4
165	0
4579	5
8010	9
7306	8
7472	8
3225	3
2028	2
8046	9
6720	7
2419	2
6217	7
1342	1
6294	7
6613	7
4679	5
3370	3
579	0
6743	7
6391	7
4863	5
5001	5
74	0
336	0
3680	4
4832	5
5020	5
8531	9
8713	9
5144	5
5226	5
5592	6
4665	5
4275	4
5419	5
4693	5
1119	1
2746	3
4948	5
250	0
7100	8
8293	9
1433	2
423	0
6388	7
1711	2
1136	1
3114	3
5007	5
7704	8
6026	7
534	0
487	0
695	0
4781	5
8268	9
5091	5
3420	3
8338	9
4227	4
3359	3
4964	5
7303	8
5272	5
2070	2
3603	4
4311	4
2228	2
959	0
3548	4
7911	9
2287	2
997	0
8016	9
1194	1
7340	8
1736	2
8591	9
8651	9
1427	1
2364	2
1737	2
2106	2
6810	8
1056	1
7964	9
5002	5
2696	3
7231	8
3696	4
6019	7
1923	2
4385	4
2502	3
2523	3
7045	8
7571	8
1195	1
7517	8
3391	3
1507	2
8618	9
7189	8
2391	2
5410	5
4647	5
8644	9
3594	4
7151	8
6728	7
6968	8
4731	5
8060	9
6274	7
4572	5
4803	5
7975	9
4769	5
3901	4
6572	7
4870	5
4476	5
7406	8
6869	8
6803	8
2566	3
3770	4
2654	3
3625	4
8434	9
1694	2
7244	8
7141	8
4690	5
3630	4
8273	9
3530	4
2357	2
6017	7
161	0
4811	5
3762	4
2266	2
1871	2
6166	7
2999	3
5191	5
7991	9
4266	4
4629	5
844	0
2219	2
5457	6
3527	4
6252	7
2927	3
8452	9
2546	3
6801	7
3875	4
8148	9
3320	3
6354	7
6488	7
6923	8
3059	3
6718	7
5039	5
406	0
6282	7
5057	5
7247	8
18	0
2327	2
7956	9
3537	4
5187	5
4335	4
1213	1
2820	3
6298	7
4953	5
211	0
6831	8
5308	5
7325	8
5970	7
1479	2
1656	2
6487	7
3516	4
8302	9
8058	9
2233	2
2846	3
6709	7
2512	3
522	0
5785	6
6805	8
4099	4
6934	8
1154	1
3413	3
4470	5
8663	9
4330	4
4717	5
1007	1
209	0
1730	2
5045	5
4723	5
7827	9
537	0
2375	2
7840	9
673	0
6352	7
153	0
6195	7
2479	3
7629	8
4098	4
3433	4
6792	7
7537	8
2333	2
4518	5
3231	3
1575	2
4983	5
3881	4
4072	4
3334	3
1003	1
7677	8
5480	6
2513	3
5578	6
5135	5
408	0
8502	9
7557	8
1413	1
5952	7
6904	8
4050	4
8222	9
3952	4
3084	3
6320	7
6050	7
540	0
6108	7
6136	7
1532	2
3367	3
2323	2
1502	2
2580	3
3459	4
7496	8
6776	7
388	0
7328	8
7559	8
6949	8
3064	3
97	0
7421	8
717	0
6942	8
3501	4
5714	6
8223	9
7804	9
5183	5
4580	5
3683	4
2711	3
4763	5
3904	4
1480	2
7772	9
3277	3
811	0
5811	7
7569	8
5746	6
3665	4
3541	4
4709	5
4498	5
8	0
1759	2
2789	3
3065	3
2189	2
3152	3
8280	9
4838	5
992	0
180	0
3953	4
8015	9
1001	1
3776	4
985	0
1113	1
4816	5
2456	3
6116	7
275	0
1228	1
4673	5
7410	8
4960	5
458	0
1962	2
5161	5
281	0
6527	7
2142	2
812	0
8315	9
1715	2
7770	9
6260	7
7697	8
4819	5
8366	9
4304	4
7769	9
6277	7
7490	8
1740	2
2709	3
2400	2
300	0
1587	2
5295	5
7469	8
6103	7
3718	4
4732	5
641	0
2110	2
3903	4
986	0
5523	6
481	0
7628	8
4465	5
5102	5
3474	4
5077	5
8124	9
5859	7
714	0
3166	3
7662	8
2386	2
5750	6
2524	3
4901	5
5041	5
6623	7
3986	4
1664	2
3072	3
2871	3
6411	7
5758	6
372	0
8371	9
1082	1
7609	8
1769	2
5108	5
4239	4
3975	4
172	0
4258	4
4084	4
366	0
5773	6
1669	2
5695	6
1533	2
899	0
4398	4
2426	2
801	0
7871	9
5434	6
894	0
1205	1
1377	1
1089	1
7338	8
4150	4
2153	2
1145	1
1548	2
7063	8
1739	2
3141	3
259	0
6356	7
3640	4
1713	2
3940	4
1612	2
7509	8
3847	4
5099	5
4089	4
8294	9
648	0
4881	5
7068	8
6375	7
7173	8
1608	2
5454	6
1464	2
8394	9
2388	2
5274	5
8342	9
313	0
6665	7
5205	5
8073	9
7853	9
3375	3
3862	4
2693	3
